times,rate_values,rate_models,targets_id,values_id,models_id
2010-11,100.0,100.0,"['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2106.15984', '2203.08450']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2106.15984', '2203.08450']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2106.15984', '2203.08450']"
2010-12,100.0,100.0,"['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2106.15984', '2203.08450']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2106.15984', '2203.08450']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2106.15984', '2203.08450']"
2011-01,100.0,100.0,"['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2106.15984', '2203.08450']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2106.15984', '2203.08450']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2106.15984', '2203.08450']"
2011-02,100.0,100.0,"['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2106.15984', '2203.08450']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2106.15984', '2203.08450']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2106.15984', '2203.08450']"
2011-03,100.0,100.0,"['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2106.15984', '2203.08450']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2106.15984', '2203.08450']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2106.15984', '2203.08450']"
2011-04,100.0,100.0,"['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2106.15984', '2203.08450']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2106.15984', '2203.08450']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2106.15984', '2203.08450']"
2011-05,100.0,100.0,"['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2106.15984', '2203.08450']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2106.15984', '2203.08450']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2106.15984', '2203.08450']"
2011-06,100.0,100.0,"['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2106.15984', '2203.08450']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2106.15984', '2203.08450']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2106.15984', '2203.08450']"
2011-07,100.0,100.0,"['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2106.15984', '2203.08450']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2106.15984', '2203.08450']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2106.15984', '2203.08450']"
2011-08,100.0,100.0,"['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2106.15984', '2203.08450']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2106.15984', '2203.08450']","['2001.01568', '2012.12877', '1811.01399', '1811.11721', '1901.08150', '1903.07293', '2007.08442', '2103.04224', '2106.15984', '2203.08450']"
